Molecule ChEMBL ID,Standardized Smiles,pIC50,MolWt,TPSA,nRotB,HBD,HBA,LogP,NumHetAtoms,NumHeavyAtoms,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,RingCount,FractionCSP3,Asphericity,Eccentricity,InertShpFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadGyr,SphIndex
CHEMBL450484,O=C(O)/C=C/c1cc(O)ccc1O,4.3526,180.042258736,77.76,4.0,3.0,4.0,1.1955999999999998,4.0,13.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5454047994536423,0.9825216186733666,0.0027447337377578137,0.1861485128585979,0.8148562051654646,296.8798736124855,1299.5774367836914,1594.8549309013354,2.976059912372055,0.008847675479409303
CHEMBL485485,O=CN/C=C/c1cccc(O)c1O,5.7762,179.058243148,69.56,4.0,3.0,3.0,0.8144999999999998,4.0,13.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5759604458630236,0.9855585633723661,0.0032910324992444697,0.1693349289526464,0.8809403448267422,267.6790171561605,1392.5611634583333,1580.7667018953632,3.0073659084018822,0.0641990394043596
CHEMBL1202061,CCOC(=O)C(=O)Oc1ccc(-c2c(C(=O)OCC)oc3cc(O)cc(O)c3c2=O)cc1,6.0,442.0899967760004,149.57000000000002,9.0,2.0,10.0,2.516400000000001,10.0,32.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.18181818181818182,0.5126390786820042,0.9792021639480049,0.00035954332195253997,0.2028869688263503,0.8184277282039625,2276.2979541920004,9182.380584330203,11219.537495975257,5.062833761485842,0.06419887479981269
CHEMBL475352,COc1cc(Nc2ncnc3[nH]cnc23)ccc1-c1nc2ccccc2s1,5.585,374.0949800680004,88.61,5.0,2.0,7.0,4.381800000000002,8.0,27.0,0.0,0.0,0.0,2.0,3.0,5.0,5.0,0.05263157894736842,0.7558952878287787,0.996000439236308,0.0011448515949318793,0.08934833541304205,0.9110359893731979,795.767760123884,8114.007555981093,8906.35238412877,4.877608306529218,0.00444036893304843
CHEMBL464210,CNC(=O)c1cc(Nc2ccc(-c3nc4ccccc4s3)cc2)ccn1,5.699,360.10448213200044,66.91,5.0,2.0,5.0,4.461500000000003,6.0,26.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.05,0.8377821527332642,0.9983491556549648,0.001619536971985176,0.0574366033381047,0.9659019038898147,596.4062078223775,10029.665024518634,10383.730463857506,5.398564361720819,0.05394421960957543
CHEMBL312482,c1cc(Nc2ccc3[nH]ccc3c2)c2sc(-c3ccc(CN4CCOCC4)cc3)cc2n1,7.5229,440.16708238800067,53.18000000000001,5.0,2.0,5.0,6.020400000000005,6.0,32.0,0.0,0.0,1.0,2.0,3.0,5.0,6.0,0.19230769230769232,0.7691755962780041,0.9964645121372652,0.000734177729755098,0.08401473710630854,0.944204064465897,1286.070151951978,14453.567391692173,15307.673346934856,5.935926996252096,0.0644710258020191
CHEMBL125331,CN(C)c1cccc(Nc2ncnc3cc(N)ncc23)c1,5.7471,280.14364451200044,79.96,6.0,2.0,6.0,2.4166,6.0,21.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.13333333333333333,0.6349704964219165,0.9899503628347707,0.0014093986333374026,0.14141527188852537,0.8760805264585608,621.5988193376031,3850.861463679683,4395.556512648762,3.9770366583577954,0.04440602074399206
CHEMBL1095154,NCCc1cn(Cc2ccc(-c3ccccc3)cc2)c2ccc(OCCc3ccc(O)cc3)cc12,5.8861,462.2307282000008,60.41,11.0,2.0,4.0,6.184900000000006,4.0,35.0,0.0,0.0,0.0,4.0,1.0,5.0,5.0,0.16129032258064516,0.5984717837727275,0.987041301386441,0.0004532403089326389,0.16046641192897954,0.9592240645973135,2116.369717548389,12651.075937037336,13188.864212188331,5.496995691693541,0.21594568492588564
CHEMBL1094825,NC1CCc2c(c3cc(OCCc4ccc(O)cc4)ccc3n2CCCCCc2ccc(C(F)(F)F)cc2)C1,5.5607,536.265063020001,60.410000000000004,12.0,2.0,4.0,7.216200000000007,7.0,39.0,1.0,1.0,1.0,3.0,1.0,4.0,5.0,0.375,0.7669168654679304,0.9963850496469325,0.0004793319767056158,0.08495194429840815,0.9467538621596484,1975.152729568681,22012.250461339478,23250.23571715582,6.634197281310168,0.08777940734673512
CHEMBL31656,C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,8.8239,486.1582445280007,101.5,9.0,2.0,8.0,3.786500000000002,11.0,34.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,0.30434782608695654,0.6390635547059956,0.990217025105021,0.0004058973317048401,0.1395358132959504,0.8775384182297352,2161.971389523355,13596.602252902254,15494.025071096923,5.664904254013035,0.05925297845223877
CHEMBL1241300,COc1ccc(-c2n[nH]c3ncnc(N)c23)cc1O,4.0,257.09127459200005,109.94,5.0,3.0,6.0,1.3162999999999996,7.0,19.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.08333333333333333,0.543932552034785,0.9826286324299462,0.0017039858749631827,0.18558278672563774,0.8910325800149761,522.9107782564384,2510.634461784954,2817.668532100988,3.3723120994981732,0.15477884767760133
CHEMBL1641991,CCC(=O)Nc1ccc2c(C#N)cnc(Nc3cccc(Br)c3)c2c1,4.6819,394.0429232000005,77.81,5.0,2.0,4.0,4.961080000000003,6.0,25.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.10526315789473684,0.5404027384467687,0.9821934786219434,0.0005146055644385364,0.18787221868207635,0.8341081052184802,1620.8688029414122,7196.273166481698,8627.506580333204,4.697585368084023,0.03144295931034087
CHEMBL1641990,CN(C)C/C=C/C(=O)Nc1ccc2c(C#N)cnc(Nc3cccc(Br)c3)c2c1,6.8239,449.0851223600006,81.05000000000001,8.0,2.0,5.0,4.668880000000003,7.0,29.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.13636363636363635,0.44673312488907074,0.9702499890174539,0.00027571621776343496,0.24210526390731532,0.7756745397802263,2813.307632290809,9013.48061466678,11620.183662622974,5.102207560853181,0.06457546432210552
CHEMBL1641992,CN1CCN(CCC(=O)Nc2ccc3c(C#N)cnc(Nc4cccc(Br)c4)c3c2)CC1,5.8861,492.1273215200007,84.28999999999999,7.0,2.0,6.0,4.188580000000003,8.0,32.0,0.0,0.0,1.0,2.0,1.0,3.0,4.0,0.2916666666666667,0.39485664484879573,0.9616984600385373,0.0001804661524859605,0.27410959844468397,0.7729357138635243,4282.995471539492,12077.213570967611,15625.12037462932,5.6932057935417415,0.09278601486837196
